DISTRITO,CÓDIGO,NOMBRE,EDUCACIÓN,DEPENDENCIA,RESOLUCIÓN,FECHA DE RESOLUCIÓN,ZONA,DIRECCIÓN,ESTADO,https://sigee.sie.gob.bo/#
COCHABAMBA 1,80980447,PADRE IGNACIO ZALLES,Alternativa y Especial,Convenio,6590/2005,15/12/2005,TURUPAYA,MARIANO MELGAREJO Nro 102,Abierta,.
COCHABAMBA 2,80980286,VISION MUNDIAL,Regular,Fiscal,R.A. 2106/2008,20/10/2008,UNIVERSITARIO,AVENIDA PETROLERA KM. 3 1/2,Abierta,.
COCHABAMBA 2,80980287,JORGE TRIGO ANDIA,Regular,Fiscal,R.A. 1851/2009,1/9/2009,UNIVERSITARIO,AVENIDA PETROLERA KM. 3 1/2,Abierta,.
COCHABAMBA 1,80980180,ROSENDO PEÑA,Regular,Fiscal,R.A. 0360/2019,3/6/2019,URBANIZACION PIL,LUIS ZEGARRA Y JORGE UDAETA S/N,Abierta,.
COCHABAMBA 2,80980540,VERDAD Y VIDA,Regular,Fiscal,R.A. 1979/2009,17/9/2009,USPHA USHPA,.,Abierta,.
COCHABAMBA 2,80980655,EVITO,Regular,Fiscal,R.A. 202/2022,9/2/2022,USPHA USPHA,CALLE INNOMINADA - OTB MONTE RANCHO CENTRAL,Abierta,.
COCHABAMBA 2,80980696,28 DE SEPTIEMBRE,Regular,Fiscal,R.A. 3518/2024,25/7/2024,USPHA USPHA,"URBANIZACION MARIA BELEN DISTRITO 8, SUBDISTRITO 34",Abierta,.
COCHABAMBA 2,80980243,EL SALVADOR,Regular,Fiscal,R.A. 3372/2015,23/10/2015,VALLE HERMOSO,AVENIDA MARISCAL SANTA CRUZ S/N,Abierta,.
COCHABAMBA 2,80980460,GRAN TUNARI,Regular,Fiscal,R.A. 5426/2024,3/12/2009,VALLE HERMOSO,AVENIDA PIZIGA Y CALLE PARIA,Abierta,.
COCHABAMBA 2,80980533,SEÑOR DE SANTIAGO,Regular,Fiscal,R.A. 2068/2008,20/10/2008,VALLE HERMOSO,.,Abierta,.
COCHABAMBA 2,80980156,GERARDO VARGAS VIDAL,Regular,Fiscal,R.A. 5822/2024,12/12/2024,VALLE HERMOSO,MONSEÑOR ARNULFO ROMERO Y MARTIN LUTHER K,Abierta,.
COCHABAMBA 2,80980155,VALLE HERMOSO A,Regular,Fiscal,R.A. 3154/2021,7/12/2021,VALLE HERMOSO,MONSEÑOR ARNULFO ROMERO Y MARTIN LUTHER K,Abierta,.
COCHABAMBA 2,80980242,SAN JAVIER,Regular,Fiscal,R.A. 3370/2015,23/10/2015,VALLE HERMOSO,AVENIDA MARISCAL SANTA CRUZ S/N,Abierta,.
COCHABAMBA 2,80980531,FRANCISCO JAVIER BALDIVIESO LUNA,Regular,Fiscal,R.A. 2028/2008,8/10/2008,VALLE HERMOSO,.,Abierta,.
COCHABAMBA 2,80980173,HNA. QUINTINA PEREZ,Regular,Convenio,R.A. 5837/2024,12/12/2024,VALLE HERMOSO,KM 5 AV. PETROLERA,Abierta,.
COCHABAMBA 2,80980174,OBISPO ANAYA,Regular,Convenio,R.A. 6058/2024,19/12/2024,VALLE HERMOSO,KM 5 AV. PETROLERA,Abierta,.
COCHABAMBA 2,80980549,MISIONERAS DE CRISTO JESUS,Regular,Fiscal,R.A. 3369/2015,23/10/2015,VALLE HERMOSO,AVENIDA MARISCAL SANTA CRUZ S/N,Abierta,.
COCHABAMBA 2,80980445,VALLE HERMOSO B,Alternativa y Especial,Fiscal,R.A. 4880/2023,22/11/2023,VALLE HERMOSO,MONSEÑOR ARNULFO ROMERO Y MARTIN LUTHER K,Abierta,.
COCHABAMBA 1,80980133,DR. ENRIQUE SANCHEZ DE LOZADA IRIGOYEN,Regular,Fiscal,R.A. 1635/2012,3/7/2012,VALLE HERMOSO,FELIX LOPE DE VEGA S/N,Abierta,.
COCHABAMBA 1,80980137,TEMPORAL,Regular,Fiscal,0014/2007,3/1/2007,VALLE HERMOSO,FELIX LOPE DE VEGA S/N,Abierta,.
